monthly,expiration,execution_date,last_trade_date,num_underlying
False,2018-05-11,2018-05-04,2018-05-11,35
True,2018-05-18,2018-05-11,2018-05-18,34
False,2018-05-25,2018-05-18,2018-05-25,33
False,2018-06-01,2018-05-25,2018-06-01,35
False,2018-06-08,2018-06-01,2018-06-08,36
True,2018-06-15,2018-06-08,2018-06-15,37
False,2018-06-22,2018-06-15,2018-06-22,34
False,2018-06-29,2018-06-22,2018-06-29,34
False,2018-07-06,2018-06-29,2018-07-06,34
False,2018-07-13,2018-07-06,2018-07-13,35
True,2018-07-20,2018-07-13,2018-07-20,33
False,2018-07-27,2018-07-20,2018-07-27,34
False,2018-08-03,2018-07-27,2018-08-03,33
False,2018-08-10,2018-08-03,2018-08-10,33
True,2018-08-17,2018-08-10,2018-08-17,33
False,2018-08-24,2018-08-17,2018-08-24,35
False,2018-08-31,2018-08-24,2018-08-31,32
False,2018-09-07,2018-08-31,2018-09-07,32
False,2018-09-14,2018-09-07,2018-09-14,34
True,2018-09-21,2018-09-14,2018-09-21,33
False,2018-09-28,2018-09-21,2018-09-28,31
False,2018-10-05,2018-09-28,2018-10-05,32
False,2018-10-12,2018-10-05,2018-10-12,32
True,2018-10-19,2018-10-12,2018-10-19,36
False,2018-10-26,2018-10-19,2018-10-26,34
False,2018-11-02,2018-10-26,2018-11-02,35
False,2018-11-09,2018-11-02,2018-11-09,35
True,2018-11-16,2018-11-09,2018-11-16,35
False,2018-11-23,2018-11-16,2018-11-23,35
False,2018-11-30,2018-11-23,2018-11-30,35
False,2018-12-07,2018-11-30,2018-12-07,35
False,2018-12-14,2018-12-07,2018-12-14,35
True,2018-12-21,2018-12-14,2018-12-21,35
False,2018-12-28,2018-12-21,2018-12-28,34
